INF 13:26:50.451   |ClsSender|QUEUE|   Total:167061 retry:166975(keep:167058) retry_old:85 outgoing:1
INF 13:26:52.017   |CLXConnStateProcessor0|[CLXConnStateProcessor0][0283f24875|USR0283f24875 ][0283f24875]|   connectionStateChangedUpdate... status:DISCONNECTED imei:Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55184
DBG 13:26:52.017   |B9XP|0283f24875:USR0283f24875|   onDisconnectedFromCLS
DBG 13:26:52.017   |Sphere.Person|0283f24875:USR0283f24875|   setAutoQuote: true  2:6 | Excellent:Offline
DBG 13:26:58.008   |DB|Fetch|   Success... duration:321nt query:select ID from BUSINESS_ENTITY where API = 'MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=' and now() between SC_DATE and EC_DATE
INF 13:26:58.028   |CLXConnStateProcessor0|[CLXConnStateProcessor0][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216][Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216]|   connectionStateChanged sClientD:'aed7299204f5ac1b', sDeviceID:'Android@nuSDK-J8-20121202x-B29-T29-162@/114.124.177.144:55216', bState:true
INF 13:26:58.028   |CLXConnStateProcessor0|aed7299204f5ac1b|   [TX] CLS connectionStateChanged... status:CONNECTED not found!
DBG 13:27:00.149   |ProgressTask|null|   Finish pro:0 inv:0
DBG 13:27:00.149   |ProgressTask|null|   Start
INF 13:27:00.319   |CLXIncQueueProcessor9|PROCESS DATA|   MtS [aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:SUA01][id:1608532020775][f_pin:aed7299204f5ac1b][l_pin:][{Bb:aed7299204f5ac1b}{Bd:2.0}{Api:MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=}][]
INF 13:27:00.319   |CLXIncQueueProcessor9|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   MtS [1608532020144-4ddc304bc38041daed7299204f5ac1b] [type:][version:][code:SUA01][id:1608532020775][f_pin:aed7299204f5ac1b][l_pin:][{Bb:aed7299204f5ac1b}{B10:aed7299204f5ac1b}{Bd:2.0}{B8:aed7299204f5ac1b}{Api:MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=}{BQ:1608532020144-4ddc304bc38041daed7299204f5ac1b}][]
DBG 13:27:00.319   |DB|Fetch|   Success... duration:175nt query:select ID from BUSINESS_ENTITY where API = 'MC42NTE3NDAwMCAxNjA4MjkxMTAxZnBpZmJpeW1vQHNwbGl0cGFyZW50cy5jb20=' and now() between SC_DATE and EC_DATE
DBG 13:27:00.320   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|    >> USER_LIST
DBG 13:27:00.320   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   execute >> insert into USER_LIST ( f_pin,  user_id,  first_name,  last_name,  msisdn,  last_update,  created_date,  CONNECTION_FLAG,  EXTENSION,  ROOT_BE,  BE,  EMAIL,  IMAGE,  IMEI,  CONNECTED ) values ( '0283facc60', '0283facc60', 'USR0283facc60', '',NULL, '2020-12-21 13:27:00', '2020-12-21 13:27:00', 1, 100, 5, 5,NULL,'', 'aed7299204f5ac1b', '1')
DBG 13:27:00.320   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|    >> USER_LIST_EXTENDED
DBG 13:27:00.320   |B9XP-EXT|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   execute >> insert into USER_LIST_EXTENDED ( f_pin, password, user_type, official_account,IMEI,created_date,last_update,TYPE_LP,LOGIN_TYPE) values ( '0283facc60','facc5f','0','0','aed7299204f5ac1b','2020-12-21 13:27:00','2020-12-21 13:27:00',1,0)
DBG 13:27:00.352   |DB|aed7299204f5ac1b:1608532020144-4ddc304bc38041daed7299204f5ac1b:SUA01|   Success... duration:947nt query:select F_PIN from USER_LIST where LAST_UPDATE > curdate() - 3 and CONNECTED = 1 and BE = 5
DBG 13:27:00.375   |DB|Update|   Success... duration:23539mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0283facc60','0275a6f0ab',NOW(),1, 1)
DBG 13:27:00.392   |DB|Update|   Success... duration:16376mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0275a6f0ab','0283facc60',NOW(),1, 1)
DBG 13:27:00.392   |DB|Fetch|   Success... duration:169nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0275a6f0ab' AND l_pin = '0283facc60'
DBG 13:27:00.393   |DB|Fetch|   Success... duration:199nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0275a6f0ab'
INF 13:27:00.393   |ClsSender|ssend|0275a6f0ab:USR0275a6f0ab|   WRITE imei:0275a6f0ab pckid:null msgid:17683faccaa msgcode:A0052 msg:CUs01A005217683faccaa0283facc60A111608532020393is_silent1A112[{"A43":"","A00":"0283facc60","oacc":"0","A02":"USR0283facc60","A03":"","A48":"0","A144":"100","ogi":"","ogn":"","AID":"","ogt":"","A10":"1","A54":null,"A11":"1608532020320","LSG":"","A59":null,"A16":"","A157":"","A158":"","A155":"0","FL5":"1","FL4":"0","A154":"0","FL6":"0","B5":"","B6":"","B7":"0283facc60","A20":"-1","B7T":"0","A21":"","A22":"0","A23":"","A27":"","A29":"1608532020320","A129":"-1","A168":"","A169":"","ROOT_BE":"5","A166":"","tflr":"0","RNAM":"","A167":"","A164":"","A165":"","BV":"","V01":"","ISA":"0","BE_INFO":"","A74":"","Bb":"aed7299204f5ac1b","certf":"","A37":"","A38":"","A131":"0","Bv":"0","Bw":""}]A9700
DBG 13:27:00.393   |DB|Fetch|   Success... duration:118nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0275a6f0ab'
DBG 13:27:00.393   |DB|Fetch|   Success... duration:129nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0275a6f0ab' AND l_pin = '0283facc60'
INF 13:27:00.394   |ClsSender|0283facc60:USR0283facc60|   SKIP_AND_UNKEEP message:CUs01A005217683faccac0283facc60A111608532020393is_silent1A112[{"A43":"","A00":"0275a6f0ab","oacc":"0","A02":"USR0275a6f0ab","A03":"","A48":"0","A144":"100","ogi":"","ogn":"","AID":"","ogt":"","A10":"0","A54":null,"A11":"1608291831178","LSG":"","A59":null,"A16":"","A157":"","A158":"","A155":"0","FL5":"1","FL4":"0","A154":"0","FL6":"0","B5":"","B6":"","B7":"0275a6f0ab","A20":"-1","B7T":"0","A21":null,"A22":"0","A23":"","A27":"","A29":"1608291643563","A129":"6","A168":"","A169":"","ROOT_BE":"5","A166":"","tflr":"0","RNAM":"","A167":"","A164":"","A165":"","BV":"","V01":"","ISA":"0","BE_INFO":"","A74":"","Bb":"0275a6f0ab","certf":"","A37":"","A38":"","A131":"0","Bv":"1608291831178","Bw":"Offline"}]A9700
DBG 13:27:00.417   |DB|Update|   Success... duration:23337mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0283facc60','0283f24875',NOW(),1, 1)
DBG 13:27:00.442   |DB|Update|   Success... duration:25041mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0283f24875','0283facc60',NOW(),1, 1)
DBG 13:27:00.443   |DB|Fetch|   Success... duration:192nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283f24875' AND l_pin = '0283facc60'
DBG 13:27:00.443   |DB|Fetch|   Success... duration:119nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283f24875'
INF 13:27:00.443   |ClsSender|ssend|0283f24875:USR0283f24875|   WRITE imei:0283f24875 pckid:null msgid:17683faccdc msgcode:A0052 msg:CUs01A005217683faccdc0283facc60A111608532020443is_silent1A112[{"A43":"","A00":"0283facc60","oacc":"0","A02":"USR0283facc60","A03":"","A48":"0","A144":"100","ogi":"","ogn":"","AID":"","ogt":"","A10":"1","A54":null,"A11":"1608532020320","LSG":"","A59":null,"A16":"","A157":"","A158":"","A155":"0","FL5":"1","FL4":"0","A154":"0","FL6":"0","B5":"","B6":"","B7":"0283facc60","A20":"-1","B7T":"0","A21":"","A22":"0","A23":"","A27":"","A29":"1608532020320","A129":"-1","A168":"","A169":"","ROOT_BE":"5","A166":"","tflr":"0","RNAM":"","A167":"","A164":"","A165":"","BV":"","V01":"","ISA":"0","BE_INFO":"","A74":"","Bb":"aed7299204f5ac1b","certf":"","A37":"","A38":"","A131":"0","Bv":"0","Bw":""}]A9700
DBG 13:27:00.443   |DB|Fetch|   Success... duration:146nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283f24875'
DBG 13:27:00.444   |DB|Fetch|   Success... duration:166nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283f24875' AND l_pin = '0283facc60'
INF 13:27:00.444   |ClsSender|0283facc60:USR0283facc60|   SKIP_AND_UNKEEP message:CUs01A005217683faccde0283facc60A111608532020444is_silent1A112[{"A43":"","A00":"0283f24875","oacc":"0","A02":"USR0283f24875","A03":"","A48":"0","A144":"100","ogi":"","ogn":"","AID":"","ogt":"","A10":"0","A54":null,"A11":"1608532012017","LSG":"","A59":null,"A16":"","A157":"","A158":"","A155":"0","FL5":"1","FL4":"0","A154":"0","FL6":"0","B5":"","B6":"","B7":"0283f24875","A20":"-1","B7T":"0","A21":null,"A22":"0","A23":"","A27":"","A29":"1608531462261","A129":"6","A168":"","A169":"","ROOT_BE":"5","A166":"","tflr":"0","RNAM":"","A167":"","A164":"","A165":"","BV":"","V01":"","ISA":"0","BE_INFO":"","A74":"","Bb":"0283f24875","certf":"","A37":"","A38":"","A131":"0","Bv":"1608532012017","Bw":"Offline"}]A9700
DBG 13:27:00.467   |DB|Update|   Success... duration:23272mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0283facc60','0283facc60',NOW(),1, 1)
DBG 13:27:00.468   |DB|Update|   Success... duration:314mt query:insert IGNORE into FRIEND_LIST (f_pin, l_pin, created_date, status, OFFMP) values('0283facc60','0283facc60',NOW(),1, 1)
DBG 13:27:00.468   |DB|Fetch|   Success... duration:159nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283facc60'
DBG 13:27:00.468   |DB|Fetch|   Success... duration:126nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283facc60'
DBG 13:27:00.468   |DB|Fetch|   Success... duration:108nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283facc60'
DBG 13:27:00.469   |DB|Fetch|   Success... duration:118nt query:SELECT f_pin, l_pin from BLOCK_USER where f_pin='0283facc60' AND l_pin = '0283facc60'
